Reaction_ID;Module_ID
4533;160
4429;160
1317;161
1590;162
73;162
2266;163
2265;164
2265;165
2581;165
2581;165
2267;166
1595;167
3057;168
3059;169
3867;169
2268;170
661;171
4247;171
1177;172
4748;172
4748;172
4749;172
4749;172
4749;172
6985;172
1280;173
4738;174
4738;174
4737;174
4738;174
4737;174
3991;174
238;177
1978;177
1360;177
1361;177
1366;177
7063;178
1593;179
1596;179
7041;180
7046;180
851;181
2241;181
2239;181
2251;181
2251;181
851;182
2241;182
1021;183
1890;183
1321;183
2056;184
3424;184
1320;184
1468;185
2038;185
2057;185
2055;186
7048;187
7050;187
7051;187
7052;187
7108;187
7109;187
7110;187
7111;187
1800;188
1281;189
2978;189
6517;189
7042;190
7043;190
7042;190
7044;190
7043;190
7045;190
2082;191
2245;191
3245;191
1121;191
1123;191
5636;192
5688;192
5633;192
5634;192
5637;192
5884;192
1123;192
1658;193
2003;194
2061;195
702;196
2872;196
2065;197
7270;197
4798;197
4800;197
7064;199
7056;200
7055;200
7056;200
7055;200
7056;200
7055;200
7056;200
7055;200
7056;200
7055;200
3626;201
3626;201
2250;202
2687;202
1351;202
2691;203
4469;203
2689;203
5081;203
1799;204
1310;205
2051;206
1802;209
1801;210
2029;210
7387;212
3437;212
4321;213
4452;214
4162;215
6364;215
7384;216
7381;216
1281;217
2978;217
6517;217
1494;217
1926;218
3617;219
1891;220
2541;220
2541;220
2541;220
2541;220
2541;220
2541;220
