Reaction_ID;Organism_ID;KM_muM;kcat_s_1
4318;1902;75;410
4318;1902;38;600
4318;2333;29.5;0.4
4318;13196;23;770
4318;13200;16;10
4318;15805;160;1.2
4318;15805;250;0.533
4318;16841;63;473
4318;6720;2.9;41
4318;17313;25;4
4318;21;800;110
4318;6;74;33
4318;21;20;3
4318;1900;710;0.2
4318;4749;10000;830
4318;17351;13;10.92
4318;3802;10;0.1
4318;11666;12;97
4318;26;370;317
4318;17368;19;4.9
1418;85;650;1330
1127;7;0.9;8.6
765;2454;17000;39.6
765;6;1700;455
765;128;5900;5.8
765;2454;1100;44.2
86;7;46;0.0051
2604;407;5.7;42
5558;122;20;3
4209;0;76;40
345;111;100;69
431;89;50;7.2
431;1084;2420;9.3
726;1084;2420;9.3
726;1084;300;6.9
341;18367;540;9.67
341;9;310;6
341;9;402;53
341;9;135;62
341;18367;83;22
1767;288;11500;1700
2262;6;54700;0.36
1811;5392;3000;1.9
1811;6;22000;1.8
1811;5392;220000;11
1811;6;180000;9
1302;6;28;1.7
1302;113;1.97;0.215
1302;6;9.7;0.82
132;7;1000;130000
132;7;8800;16700
132;469;17000;240000
132;796;2700;24000
132;843;7900;26000
132;4256;23800;18600
132;4256;800;71900
132;4256;12600;58900
132;4887;21720;25000
132;8615;16000;49000
132;16670;11040;55000
132;4256;14500;62900
132;18889;10410;66700
132;298;8720;89000
132;298;23260;303000
1082;6;600;51.7
1082;235;250;690
1082;19006;430;219
1082;89;810;720
1082;89;380;730
1325;115;3.5;3.3
1900;115;3.5;3.3
2085;85;29.1;2.1
2085;375;10;138
2340;108;60;5.4
2340;108;18;5.44
2340;108;94;10.1
2340;583;25;10
891;7;6110;3.13
4478;4055;10.7;2.3
5379;451;6400;8
4031;14432;480;120
490;1086;1610;89
3046;12208;70000;301
6132;12208;70000;301
3046;12208;23;195
1083;115;34;2.9
1083;115;760;2.9
4559;115;760;2.9
3738;6;7.4;0.015
3738;926;1.4;1.3
3738;3262;72;0.65
3738;926;7;0.002
3738;3262;4000;4.5
1001;7;2750;0.4
1001;7;3400;0.67
8632;7;2750;0.4
8632;7;3400;0.67
2530;7;49;1360
2530;7;130;1130
2530;8;140;1180
2530;9;530;1820
2530;21;16;271
2530;96;210;983
2530;947;28;204
2530;2841;340;11.4
2530;5670;29;306
401;6;250;8
401;6;304;7.617
401;108;500;2.6
401;1467;400;63.3
401;3425;179000;2314
401;4954;73500;3272
401;8897;1800;24.8
401;1467;700;70
401;469;6200;37.9
260;6;2100;43.33
260;135;14;0.56
